 6928  994 1656 2486  933 3326 8849 6486 8074 4383 8222 4452 3196 9838  524
 1847 4515 2230 8157 7136 6342 5488 7989 8866 8244 2132 9764 9842 8726 6329
 7444 2090 9540 8474 7587 7928 5652 6280  521 6294 9251 9674 6010 8991 3605
 7052 9347 6575 5180  224 8910  692 7060  121 3125 6040 3158 6853 5718 8874
 8219 8314 6980 2766 9562 2606 4795  389 8664 5712 7179 7514 5345 7387 7070
 5177 2770 3769 1753 9461  911 5861 3221 4391 6838 8258 7858 5921 9062  824
 9226 2441 5316 6793 1567 6162 5985 3748 4354 1613 8875 6757 8864 6580 4409
 8637 6564 6128 1073 9933 9762 5234 4214 5098 7245 4651 8668 3340  462 9135
 4676 2274 3939 2222 9472 3410 9164  551  657 7558 1155 8782 1064 1194 5120
 9577 3365 9340 3750 8906 3439 5593 7105  467 4222 4101 3186 5021 4717 2513
 1203 6473 9014 2491 7634 5052 5819 7353 1250 6743 9648 1454 6965 1387 9822
 9448 6362 9829 1034 9613 4572 1121 2691 9692 6526 9883 5767 3736 1467 8576
 8772 2158 4016 7747 4695 6999 8389 8101 1778  803 3121 2378  466 3840 2072
 7637 9591 8936 6067 6569 5454 7720 4733 4920 4726 6051 9154 3437 4403 2917
 5840 4278 2023 4279 5128 8480 5124 5575 2039 6551 4869 5820 2473 7560 3345
 1136 7718 4155 6020 3035 5702  200 9280 4263 9008 2837 5900 2454  426 3379
 3960 9199 5374 8853 6386 3046 1180 5550 1198 4551 1963 4651 8592 3462 9220
 1665 9677 7128 5189 1050 1027 7782 8379 9928 3412 8967 3450 3132  789 6857
 6743 4683 3204 3976 3887 6910 4047 2905 5401 7792 5235 4070 1407 1343 7239
 8405 5209  498 8077 8259 7072 5768 2692  914 7314 2915  447 6151 4483 2117
 2877  358 2245 6556 9957 6737 9676 1751 8620 7070 6737 5372 4387 4780 1121
 9225 3251 6024 5599 4694 8030 8155 6312 5326 7457 3446  432  220 1824 2069
  500 1026 4298 7792 9613  544 8393 8059 6945 4727 9095 2655 1766   54  231
 3039 3125 5285 4761 9911 9382 2037 8207 6636 9266 9634 9180 6516 7651 1178
 9104 2057 8837 3568 1392 8504 2511 9573 6632 3319 4619 9587 7263 4172 2141
 3138 9080 6614 3522 5162 1466  113 4448 8356 7675 2524 2037 7009 1637 5697
 9181  526 3446 1861 9896 9832 8567  419 5230 5620 1675   38 2055 8146 9371
 8556 9952 1863  130 4050 8431 3965 2141  555 7246 8633 9245 5345 5689  969
 4750 5872 3674 8681 8908 6150 9735 7324 2843 4025 7637 5347 8467 1667 8396
  929 1965 1607 9112 1788 5457 8505 4507 5165 2624  175 2338 1487 2173 3022
 8268 9353 4170 4434 4311 6417 4710 9344 6253 2933 4119 6702 6618 3587 2187
 4882 7661 6185 5817  502  469 3311  618 8016 6451 2808 4544 7642 6884 3344
 8085 5319 8060 8912 4194 8764  269 4811 4964 9133 7047 8985 7869 4291 1226
 5404 6809 2707 2218 9167 7360 9617 5458 6104  807 6575 3540 7828 4853 4522
 4480 8055 9191 1834 1593 6520 8469 7575 9340 1899 2118 4260 2196 4590 4797
 7471 8376 8412 3458 4350  851 2493 7916 5731 5951 8330 9190 2411 1120 5417
 5816 1271  189 3421 7703 1202 6863 6431  744  976 2244 8840 3672 2755 4119
 5939 3080   30 9446 7795 4743 7298  730 8400 1967 6502 2729 5662 5421 7781
 5417  575 8780  381 5682 7093 8128 4499 2367 9826]
